#name: Name
#FCS_File: NA
name	FCS_File
SC162-6_513549	SC162-6_513549	SC162-6_513549.fcs
SC162-6_515600	SC162-6_515600	SC162-6_515600.fcs
SC173-12_514521	SC173-12_514521	SC173-12_514521.fcs
SC173-12_515600	SC173-12_515600	SC173-12_515600.fcs
SC245-3_508095	SC245-3_508095	SC245-3_508095.fcs
SC254-2_508095	SC254-2_508095	SC254-2_508095.fcs
SC272-3_514521	SC272-3_514521	SC272-3_514521.fcs
SC272-3_515600	SC272-3_515600	SC272-3_515600.fcs
SC293-1_508095	SC293-1_508095	SC293-1_508095.fcs
SC293-2_508095	SC293-2_508095	SC293-2_508095.fcs
SC338-4_511467	SC338-4_511467	SC338-4_511467.fcs
SC338-6_511467	SC338-6_511467	SC338-6_511467.fcs
SC370-2_513549	SC370-2_513549	SC370-2_513549.fcs
SC372-3_514521	SC372-3_514521	SC372-3_514521.fcs
SC372-3_515600	SC372-3_515600	SC372-3_515600.fcs
SC382-1_513549	SC382-1_513549	SC382-1_513549.fcs
SC392-1_508095	SC392-1_508095	SC392-1_508095.fcs
SC392-1_511467	SC392-1_511467	SC392-1_511467.fcs
SC392-2_508095	SC392-2_508095	SC392-2_508095.fcs
SC392-2_511467	SC392-2_511467	SC392-2_511467.fcs
SC392-3_508095	SC392-3_508095	SC392-3_508095.fcs
SC392-3_511467	SC392-3_511467	SC392-3_511467.fcs
SC399-2_511467	SC399-2_511467	SC399-2_511467.fcs
SC399-3_508095	SC399-3_508095	SC399-3_508095.fcs
SC400-1_508814	SC400-1_508814	SC400-1_508814.fcs
SC400-3_508814	SC400-3_508814	SC400-3_508814.fcs
SC405-1_508814	SC405-1_508814	SC405-1_508814.fcs
SC405-2_513549	SC405-2_513549	SC405-2_513549.fcs
SC413-1_513549	SC413-1_513549	SC413-1_513549.fcs
SC414-1_513549	SC414-1_513549	SC414-1_513549.fcs
SC414-1_514521	SC414-1_514521	SC414-1_514521.fcs
SC414-2_513549	SC414-2_513549	SC414-2_513549.fcs
SC414-2_514521	SC414-2_514521	SC414-2_514521.fcs
SC414-2_515600	SC414-2_515600	SC414-2_515600.fcs
SC414-9_514521	SC414-9_514521	SC414-9_514521.fcs
SC430-1_511467	SC430-1_511467	SC430-1_511467.fcs
SC430-2_511467	SC430-2_511467	SC430-2_511467.fcs
SC435-1_530414	SC435-1_530414	SC435-1_530414.fcs
SC442-2_530414	SC442-2_530414	SC442-2_530414.fcs
SC442-3_530414	SC442-3_530414	SC442-3_530414.fcs
SC443-1_513549	SC443-1_513549	SC443-1_513549.fcs
SC454-1_514521	SC454-1_514521	SC454-1_514521.fcs
SC454-1_515600	SC454-1_515600	SC454-1_515600.fcs
SC454-1_530414	SC454-1_530414	SC454-1_530414.fcs
SC454-7_530414	SC454-7_530414	SC454-7_530414.fcs
SC467-5_539759	SC467-5_539759	SC467-5_539759.fcs
SC487-3_530414	SC487-3_530414	SC487-3_530414.fcs
SC487-3_539759	SC487-3_539759	SC487-3_539759.fcs
SC487-4_530414	SC487-4_530414	SC487-4_530414.fcs
SC487-4_539759	SC487-4_539759	SC487-4_539759.fcs
SC487-6_539759	SC487-6_539759	SC487-6_539759.fcs
SC495-4_540695	SC495-4_540695	SC495-4_540695.fcs
SC495-5_540695	SC495-5_540695	SC495-5_540695.fcs
SC499-3_541977	SC499-3_541977	SC499-3_541977.fcs
SC500-3_542514	SC500-3_542514	SC500-3_542514.fcs
SC500-4_542514	SC500-4_542514	SC500-4_542514.fcs
SC500-5_541977	SC500-5_541977	SC500-5_541977.fcs
SC500-5_542514	SC500-5_542514	SC500-5_542514.fcs
SC501-4_541977	SC501-4_541977	SC501-4_541977.fcs
SC501-6_541977	SC501-6_541977	SC501-6_541977.fcs
SC506-1_511467	SC506-1_511467	SC506-1_511467.fcs
SC506-1_513549	SC506-1_513549	SC506-1_513549.fcs
SC508-3_541977	SC508-3_541977	SC508-3_541977.fcs
SC510-1_514521	SC510-1_514521	SC510-1_514521.fcs
SC521-1_542514	SC521-1_542514	SC521-1_542514.fcs
SC524-1_541977	SC524-1_541977	SC524-1_541977.fcs
SC526-2_540695	SC526-2_540695	SC526-2_540695.fcs
SC534-1_540695	SC534-1_540695	SC534-1_540695.fcs
SC535-1_540695	SC535-1_540695	SC535-1_540695.fcs
SC537-1_541977	SC537-1_541977	SC537-1_541977.fcs
SC541-1_540695	SC541-1_540695	SC541-1_540695.fcs
SC541-1_542514	SC541-1_542514	SC541-1_542514.fcs
SC547-1_538076	SC547-1_538076	SC547-1_538076.fcs
SC547-1_539759	SC547-1_539759	SC547-1_539759.fcs
SC547-2_538076	SC547-2_538076	SC547-2_538076.fcs
SC547-2_539759	SC547-2_539759	SC547-2_539759.fcs
SC547-3_538076	SC547-3_538076	SC547-3_538076.fcs
SC547-3_539759	SC547-3_539759	SC547-3_539759.fcs
SC548-1_542514	SC548-1_542514	SC548-1_542514.fcs
SC553-1_542514	SC553-1_542514	SC553-1_542514.fcs
SC555-1_541977	SC555-1_541977	SC555-1_541977.fcs
SC555-1_542514	SC555-1_542514	SC555-1_542514.fcs
SC555-2_542514	SC555-2_542514	SC555-2_542514.fcs
SC571-1_542514	SC571-1_542514	SC571-1_542514.fcs
SC572-1_542514	SC572-1_542514	SC572-1_542514.fcs
SC573-1_541977	SC573-1_541977	SC573-1_541977.fcs
SC574-1_542514	SC574-1_542514	SC574-1_542514.fcs
SC577-1_541977	SC577-1_541977	SC577-1_541977.fcs
SC582-1_540695	SC582-1_540695	SC582-1_540695.fcs
SC582-1_542514	SC582-1_542514	SC582-1_542514.fcs
SC584-1_540695	SC584-1_540695	SC584-1_540695.fcs
SC591-1_541977	SC591-1_541977	SC591-1_541977.fcs
SC600-1_541977	SC600-1_541977	SC600-1_541977.fcs
