"","cell_id","new_clusters"
"1","cell_8094","6"
"2","cell_8095","1"
"3","cell_8096","3"
"4","cell_8103","1"
"5","cell_8105","3"
"6","cell_8106","5"
"7","cell_8107","6"
"8","cell_8109","1"
"9","cell_8118","1"
"10","cell_8123","4"
"11","cell_8125","3"
"12","cell_8129","3"
"13","cell_8131","1"
"14","cell_8133","3"
"15","cell_8144","3"
"16","cell_8149","1"
"17","cell_8151","7"
"18","cell_8153","3"
"19","cell_8155","1"
"20","cell_8160","1"
"21","cell_8165","1"
"22","cell_8167","1"
"23","cell_8168","1"
"24","cell_8173","1"
"25","cell_8179","2"
"26","cell_8186","1"
"27","cell_8187","3"
"28","cell_8189","6"
"29","cell_8191","7"
"30","cell_8196","1"
"31","cell_8198","7"
"32","cell_8199","3"
"33","cell_8200","7"
"34","cell_8212","3"
"35","cell_8216","1"
"36","cell_8220","7"
"37","cell_8226","3"
"38","cell_8230","3"
"39","cell_8234","1"
"40","cell_8235","7"
"41","cell_8238","4"
"42","cell_8241","3"
"43","cell_8245","3"
"44","cell_8253","3"
"45","cell_8258","3"
"46","cell_8259","3"
"47","cell_8260","3"
"48","cell_8268","7"
"49","cell_8283","7"
"50","cell_8287","7"
"51","cell_8300","1"
"52","cell_8301","1"
"53","cell_8305","3"
"54","cell_8307","3"
"55","cell_8316","3"
"56","cell_8318","7"
"57","cell_8322","2"
"58","cell_8323","3"
"59","cell_8324","1"
"60","cell_8325","7"
"61","cell_8326","2"
"62","cell_8327","1"
"63","cell_8334","7"
"64","cell_8336","7"
"65","cell_8345","7"
"66","cell_8347","6"
"67","cell_8349","2"
"68","cell_8351","7"
"69","cell_8353","7"
"70","cell_8357","7"
"71","cell_8360","7"
"72","cell_8362","6"
"73","cell_8366","2"
"74","cell_8367","2"
"75","cell_8369","7"
"76","cell_8371","7"
"77","cell_8373","7"
"78","cell_8378","7"
"79","cell_8379","3"
"80","cell_8385","1"
"81","cell_8386","7"
"82","cell_8391","1"
"83","cell_8397","7"
"84","cell_8401","1"
"85","cell_8402","7"
"86","cell_8404","6"
"87","cell_8414","6"
"88","cell_8417","7"
"89","cell_8420","7"
"90","cell_8427","4"
"91","cell_8432","7"
"92","cell_8434","6"
"93","cell_8435","7"
"94","cell_8443","7"
"95","cell_8448","3"
"96","cell_8452","7"
"97","cell_8453","7"
"98","cell_8456","7"
"99","cell_8459","6"
"100","cell_8463","7"
"101","cell_8465","7"
"102","cell_8474","7"
"103","cell_8476","7"
"104","cell_8477","7"
"105","cell_8503","7"
"106","cell_8519","7"
"107","cell_8522","7"
"108","cell_8523","7"
"109","cell_8525","7"
"110","cell_8527","7"
"111","cell_8529","7"
"112","cell_8531","7"
"113","cell_8534","3"
"114","cell_8540","3"
"115","cell_8543","3"
"116","cell_8545","7"
"117","cell_8563","7"
"118","cell_8566","6"
"119","cell_8568","1"
"120","cell_8569","7"
"121","cell_8570","7"
